,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
41,Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,,,41.3,41.61666666666667,41.93333333333333,42.25,42.56666666666667,42.88333333333333,43.2,42.95714285714286,42.714285714285715,42.471428571428575,42.22857142857143,41.98571428571429,41.74285714285714,41.5,40.06666666666667,38.63333333333333,37.2,37.2,37.2,37.2,37.2
42,Cameroon,CMR,Gini index,SI.POV.GINI,,42.1,42.21666666666667,42.333333333333336,42.45,42.56666666666666,42.68333333333333,42.8,43.34285714285714,43.885714285714286,44.42857142857143,44.97142857142857,45.51428571428571,46.05714285714286,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6
43,"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,,,,,42.2,42.1875,42.175000000000004,42.1625,42.150000000000006,42.1375,42.125,42.112500000000004,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1
44,"Congo, Rep.",COG,Gini index,SI.POV.GINI,,,,,,47.3,47.56666666666666,47.83333333333333,48.099999999999994,48.36666666666667,48.63333333333333,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9
45,Colombia,COL,Gini index,SI.POV.GINI,58.7,57.5,56.0,53.6,55.0,53.9,54.36666666666667,54.83333333333333,55.3,54.3,54.6,53.5,52.6,52.6,52.6,51.0,50.6,49.7,50.4,51.3,53.5,51.5,51.5
46,Comoros,COM,Gini index,SI.POV.GINI,,,,,55.9,54.839999999999996,53.78,52.72,51.66,50.599999999999994,49.54,48.48,47.42,46.36,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3
47,Cabo Verde,CPV,Gini index,SI.POV.GINI,,52.5,51.61666666666667,50.733333333333334,49.85,48.96666666666667,48.083333333333336,47.2,46.6,46.0,45.4,44.8,44.2,43.6,43.0,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4
48,Costa Rica,CRI,Gini index,SI.POV.GINI,47.4,51.5,51.8,49.3,48.4,47.5,49.3,49.3,48.6,50.6,48.0,48.8,48.4,49.2,48.6,48.4,48.7,48.3,48.0,48.2,49.2,48.7,47.2
53,Cyprus,CYP,Gini index,SI.POV.GINI,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37.0,35.6,34.0,32.9,31.4,32.7,31.2,31.7,31.7,31.7
54,Czechia,CZE,Gini index,SI.POV.GINI,,,26.6,27.05,27.5,26.9,26.7,26.0,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,25.0,25.3,26.2,26.2,26.2
55,Germany,DEU,Gini index,SI.POV.GINI,28.8,29.9,29.9,29.9,30.2,31.6,31.0,31.1,30.9,30.5,30.3,30.7,31.1,31.5,30.9,31.4,31.4,31.9,31.8,31.7,31.7,31.7,31.7
56,Djibouti,DJI,Gini index,SI.POV.GINI,,,40.0,40.51,41.02,41.53,42.04,42.55,43.06,43.57,44.08,44.59,45.1,44.1,43.475,42.85,42.225,41.6,41.6,41.6,41.6,41.6,41.6
58,Denmark,DNK,Gini index,SI.POV.GINI,23.8,24.400000000000002,25.0,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,28.2,27.7,27.5,27.5,27.5
59,Dominican Republic,DOM,Gini index,SI.POV.GINI,51.5,50.0,49.7,52.1,52.1,50.0,52.0,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,38.5
60,Algeria,DZA,Gini index,SI.POV.GINI,,,,,,,,,,,,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
66,Ecuador,ECU,Gini index,SI.POV.GINI,56.4,55.43333333333333,54.46666666666667,53.5,53.9,53.1,52.3,53.4,49.8,48.5,48.8,45.9,46.1,46.9,45.0,46.0,45.0,44.7,45.4,45.7,47.3,45.8,45.5
67,"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,,,,,31.8,31.625,31.450000000000003,31.275000000000002,31.1,30.65,30.2,29.25,28.3,29.46666666666667,30.633333333333333,31.8,31.65,31.5,31.7,31.9,31.9,31.9,31.9
70,Spain,ESP,Gini index,SI.POV.GINI,34.1,33.333333333333336,32.56666666666667,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,34.9,34.9
71,Estonia,EST,Gini index,SI.POV.GINI,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32.0,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,30.7,30.7
72,Ethiopia,ETH,Gini index,SI.POV.GINI,,,,,29.8,30.366666666666667,30.933333333333334,31.5,32.06666666666667,32.63333333333333,33.2,33.56,33.92,34.28,34.64,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
75,Finland,FIN,Gini index,SI.POV.GINI,27.2,27.366666666666667,27.53333333333333,27.7,27.9,27.6,28.0,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.1,27.1
76,Fiji,FJI,Gini index,SI.POV.GINI,,,38.1,38.483333333333334,38.86666666666667,39.25,39.63333333333333,40.016666666666666,40.4,39.66,38.92,38.18,37.440000000000005,36.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,30.7,30.7
77,France,FRA,Gini index,SI.POV.GINI,32.6,32.5,31.8,31.4,30.6,29.8,29.7,32.4,33.0,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,30.7,30.7
